time_milisec,time,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G),tem(℃),hum(%)
1421109985726,18:46:25.726,17.0,20.3,4.9,28.7,22.6,14.1,24.6,15.9,-1.493,-1.430,-1.366,,
1421109985761,18:46:25.761,23.3,20.3,6.6,25.7,17.7,7.8,24.6,7.9,-1.474,-1.420,-1.366,,
1421109985790,18:46:25.789,23.3,20.3,6.6,25.7,17.7,9.3,31.3,7.9,-1.478,-1.454,-1.366,,
1421109985987,18:46:25.986,23.3,6.7,8.2,25.7,22.6,15.7,33.0,14.3,-1.478,-1.449,-1.371,,
1421109986004,18:46:26.003,20.1,20.3,11.5,27.2,12.8,1.5,22.9,0.0,-1.488,-1.425,-1.371,,
1421109986025,18:46:26.024,21.7,20.3,9.9,25.7,9.6,7.8,31.3,4.7,-1.483,-1.405,-1.381,,
1421109986037,18:46:26.036,20.1,18.6,4.9,19.5,20.9,10.9,28.0,4.7,-1.483,-1.425,-1.366,,
1421109986041,18:46:26.041,17.0,18.6,14.9,35.0,22.6,14.1,28.0,9.5,-1.493,-1.474,-1.386,,
1421109986052,18:46:26.051,6.1,22.0,6.6,22.6,16.0,10.9,26.3,7.9,-1.488,-1.400,-1.356,,
1421109986067,18:46:26.062,20.1,18.6,8.2,25.7,19.3,9.3,31.3,9.5,-1.483,-1.464,-1.371,,
1421109986101,18:46:26.101,21.7,10.1,6.6,25.7,20.9,17.2,29.7,11.1,-1.483,-1.459,-1.376,,
1421109986111,18:46:26.110,21.7,22.0,8.2,27.2,12.8,1.5,24.6,1.6,-1.488,-1.425,-1.376,,
1421109986131,18:46:26.120,23.3,22.0,6.6,25.7,11.2,14.1,28.0,15.9,-1.483,-1.430,-1.371,,
1421109986138,18:46:26.137,24.9,20.3,6.6,24.1,19.3,10.9,26.3,4.7,-1.508,-1.420,-1.361,,
1421109986161,18:46:26.160,36.1,37.7,4.9,25.7,16.0,14.1,28.0,17.5,-1.488,-1.430,-1.366,,
1421109986187,18:46:26.187,39.3,39.5,6.6,19.5,17.7,9.3,31.3,6.3,-1.483,-1.420,-1.366,,
1421109986213,18:46:26.213,39.3,44.8,8.2,24.1,19.3,9.3,29.7,11.1,-1.478,-1.444,-1.400,,
1421109986258,18:46:26.258,44.2,41.2,8.2,24.1,20.9,15.7,28.0,9.5,-1.483,-1.449,-1.376,,
1421109986277,18:46:26.277,44.2,55.5,9.9,24.1,12.8,4.7,26.3,1.6,-1.488,-1.430,-1.371,,
1421109986285,18:46:26.285,47.4,51.9,8.2,24.1,11.2,18.8,28.0,17.5,-1.483,-1.425,-1.371,,
